Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
A20210100621,06/01/2021,Wednesday,Stop sign,Roundabout,Slight,51.419007,Darkness - lights lit,Hammersmith and Fulham,None,-0.17198,1,2,Metropolitan Police,Snow,Residential street,32,05:50,Urban,Fog or mist,Motorcycle
A20210100622,07/01/2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.455059,Daylight,Kensington and Chelsea,None,-0.137218,3,2,Metropolitan Police,Dry,Motorway,81,12:10,Rural,Storm,Bus
A20210100623,08/01/2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.498818,Daylight,Westminster,None,-0.220085,1,1,Metropolitan Police,Snow,One way street,38,15:20,Urban,Raining no high winds,Taxi/Private hire car
A20210100624,09/01/2021,Saturday,Stop sign,Not at junction or within 20 metres,Moderate,51.501516,Darkness - lights lit,Westminster,None,-0.240726,3,4,Metropolitan Police,Dry,Dual carriageway,81,03:55,Rural,Fine no high winds,Bus
A20210100625,10/01/2021,Sunday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.50133,Darkness - lights lit,Westminster,None,-0.224516,3,4,Metropolitan Police,Frost or ice,Dual carriageway,69,19:15,Suburban,Storm,Car
A20210100626,11/01/2021,Monday,Auto traffic signal,T or staggered junction,Moderate,51.451175,Daylight,Kensington and Chelsea,None,-0.23092,3,1,Metropolitan Police,Dry,Single carriageway,77,08:25,Rural,Raining no high winds,Bus
A20210100627,12/01/2021,Tuesday,Auto traffic signal,Roundabout,Slight,51.453485,Darkness - lights lit,Kensington and Chelsea,None,-0.244498,1,1,Metropolitan Police,Wet or damp,Residential street,31,03:30,Urban,Raining no high winds,Bus
A20210100628,13/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Fatal,51.493492,Daylight,Kensington and Chelsea,None,-0.118049,3,2,Metropolitan Police,Dry,Motorway,98,18:40,Urban,Fog or mist,Car
A20210100629,14/01/2021,Thursday,Stop sign,Not at junction or within 20 metres,Moderate,51.454864,Daylight,Hammersmith and Fulham,None,-0.101657,3,2,Metropolitan Police,Wet or damp,Roundabout,87,06:15,Rural,Storm,Car
A20210100630,15/01/2021,Friday,Give way or uncontrolled,Roundabout,Moderate,51.410833,Daylight,Hammersmith and Fulham,None,-0.176198,3,1,Metropolitan Police,Wet or damp,Motorway,103,17:25,Urban,Fine no high winds,Goods vehicle
A20210100631,16/01/2021,Saturday,Auto traffic signal,Roundabout,Moderate,51.509551,Daylight,Kensington and Chelsea,None,-0.233517,3,4,Metropolitan Police,Frost or ice,Single carriageway,32,18:00,Urban,Storm,Motorcycle
A20210100632,17/01/2021,Sunday,Stop sign,Roundabout,Moderate,51.480611,Daylight,Camden,None,-0.211454,3,2,Metropolitan Police,Snow,One way street,89,18:15,Rural,Fine no high winds,Bus
A20210100633,18/01/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.44327,Daylight,Kensington and Chelsea,None,-0.157214,1,2,Metropolitan Police,Wet or damp,One way street,52,07:20,Rural,Fine no high winds,Goods vehicle
A20210100634,19/01/2021,Tuesday,Stop sign,Roundabout,Slight,51.515533,Daylight,Hammersmith and Fulham,None,-0.116266,1,3,Metropolitan Police,Snow,Roundabout,25,11:25,Urban,Raining no high winds,Car
A20210100635,20/01/2021,Wednesday,Stop sign,Not at junction or within 20 metres,Moderate,51.556602,Darkness - lights lit,Kensington and Chelsea,None,-0.144384,3,4,Metropolitan Police,Snow,Single carriageway,49,23:20,Rural,Fine no high winds,Goods vehicle
A20210100636,21/01/2021,Thursday,Auto traffic signal,T or staggered junction,Moderate,51.471369,Daylight,Hammersmith and Fulham,None,-0.201018,3,4,Metropolitan Police,Dry,Single carriageway,87,08:15,Rural,Fog or mist,Motorcycle
A20210100637,22/01/2021,Friday,Auto traffic signal,T or staggered junction,Moderate,51.449626,Daylight,Westminster,None,-0.1292,3,2,Metropolitan Police,Dry,Motorway,121,06:45,Urban,Fine no high winds,Taxi/Private hire car
A20210100638,23/01/2021,Saturday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.415957,Daylight,Hammersmith and Fulham,None,-0.256685,1,1,Metropolitan Police,Dry,Residential street,53,12:05,Urban,Fine no high winds,Taxi/Private hire car
A20210100639,24/01/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.486779,Darkness - lights lit,Camden,None,-0.123565,1,1,Metropolitan Police,Wet or damp,Single carriageway,20,20:45,Urban,Fine no high winds,Taxi/Private hire car
A20210100640,25/01/2021,Monday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.510727,Darkness - lights lit,Kensington and Chelsea,None,-0.256607,1,1,Metropolitan Police,Dry,Dual carriageway,75,05:20,Urban,Raining no high winds,Goods vehicle
A20210100641,26/01/2021,Tuesday,Auto traffic signal,T or staggered junction,Moderate,51.45653,Darkness - lights lit,Camden,None,-0.223858,3,4,Metropolitan Police,Dry,Motorway,76,04:00,Urban,Raining no high winds,Motorcycle
A20210100642,27/01/2021,Wednesday,Give way or uncontrolled,Roundabout,Slight,51.547731,Daylight,Kensington and Chelsea,None,-0.116706,1,2,Metropolitan Police,Wet or damp,One way street,24,09:25,Urban,Fine no high winds,Motorcycle
A20210100643,28/01/2021,Thursday,Auto traffic signal,T or staggered junction,Moderate,51.443375,Darkness - lights lit,Hammersmith and Fulham,None,-0.154123,3,3,Metropolitan Police,Dry,Roundabout,68,04:50,Rural,Raining no high winds,Car
A20210100644,01/01/2021,Friday,Auto traffic signal,T or staggered junction,Fatal,51.418106,Darkness - lights lit,Hammersmith and Fulham,None,-0.106466,3,3,Metropolitan Police,Wet or damp,Motorway,103,04:25,Suburban,Storm,Car
A20210100645,02/01/2021,Saturday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.52696,Daylight,Camden,None,-0.237885,3,2,Metropolitan Police,Frost or ice,Motorway,102,11:25,Urban,Fine no high winds,Motorcycle
A20210100646,03/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Moderate,51.524255,Daylight,Westminster,None,-0.147505,3,2,Metropolitan Police,Snow,Dual carriageway,82,17:15,Rural,Raining no high winds,Car
A20210100647,04/01/2021,Monday,Auto traffic signal,Roundabout,Slight,51.5358,Daylight,Westminster,None,-0.212848,1,2,Metropolitan Police,Frost or ice,Single carriageway,27,15:10,Urban,Snowing no high winds,Taxi/Private hire car
A20210100648,05/01/2021,Tuesday,Stop sign,Roundabout,Fatal,51.459469,Darkness - lights lit,Kensington and Chelsea,None,-0.15396,3,1,Metropolitan Police,Frost or ice,Motorway,99,03:55,Urban,Fine no high winds,Goods vehicle
A20210100649,06/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.522467,Darkness - lights lit,Hammersmith and Fulham,None,-0.141031,1,3,Metropolitan Police,Frost or ice,Single carriageway,24,02:15,Suburban,Fine no high winds,Motorcycle
A20210100650,07/01/2021,Thursday,Stop sign,T or staggered junction,Moderate,51.496668,Darkness - lights lit,Westminster,None,-0.179473,3,1,Metropolitan Police,Frost or ice,Roundabout,41,00:20,Rural,Raining no high winds,Motorcycle
A20210100651,08/01/2021,Friday,Give way or uncontrolled,Roundabout,Moderate,51.5557,Daylight,Hammersmith and Fulham,None,-0.103532,3,2,Metropolitan Police,Wet or damp,Dual carriageway,90,08:45,Rural,Snowing no high winds,Motorcycle
A20210100652,09/01/2021,Saturday,Stop sign,Roundabout,Moderate,51.476387,Darkness - lights lit,Hammersmith and Fulham,None,-0.127639,3,2,Metropolitan Police,Dry,Single carriageway,94,23:40,Rural,Fine no high winds,Bus
A20210100653,10/01/2021,Sunday,Give way or uncontrolled,T or staggered junction,Moderate,51.445153,Darkness - lights lit,Kensington and Chelsea,None,-0.249549,3,1,Metropolitan Police,Snow,One way street,92,02:25,Rural,Fine no high winds,Taxi/Private hire car
A20210100654,11/01/2021,Monday,Auto traffic signal,T or staggered junction,Moderate,51.407688,Daylight,Kensington and Chelsea,None,-0.109039,3,1,Metropolitan Police,Snow,One way street,84,08:05,Rural,Raining no high winds,Bus
A20210100655,12/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.465166,Daylight,Kensington and Chelsea,None,-0.179652,1,2,Metropolitan Police,Dry,Single carriageway,46,12:55,Suburban,Raining no high winds,Goods vehicle
A20210100656,13/01/2021,Wednesday,Stop sign,T or staggered junction,Fatal,51.552451,Darkness - lights lit,Westminster,None,-0.118496,3,2,Metropolitan Police,Wet or damp,Motorway,118,01:20,Rural,Raining no high winds,Goods vehicle
A20210100657,14/01/2021,Thursday,Stop sign,Roundabout,Slight,51.406402,Daylight,Hammersmith and Fulham,None,-0.221742,1,1,Metropolitan Police,Wet or damp,Roundabout,48,10:35,Rural,Fog or mist,Goods vehicle
A20210100658,15/01/2021,Friday,Give way or uncontrolled,Roundabout,Fatal,51.415058,Darkness - lights lit,Camden,None,-0.232845,3,3,Metropolitan Police,Wet or damp,Motorway,126,04:20,Rural,Raining no high winds,Car
A20210100659,16/01/2021,Saturday,Auto traffic signal,Roundabout,Slight,51.522103,Darkness - lights lit,Hammersmith and Fulham,None,-0.155953,1,2,Metropolitan Police,Dry,One way street,49,05:55,Urban,Fine no high winds,Goods vehicle
A20210100660,17/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Slight,51.552327,Daylight,Camden,None,-0.246642,1,4,Metropolitan Police,Frost or ice,Single carriageway,28,13:45,Urban,Fine no high winds,Bus
A20210100661,18/01/2021,Monday,Give way or uncontrolled,T or staggered junction,Moderate,51.53649,Darkness - lights lit,Camden,None,-0.199869,3,4,Metropolitan Police,Dry,One way street,57,20:00,Suburban,Storm,Taxi/Private hire car
A20210100662,19/01/2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.413732,Daylight,Kensington and Chelsea,None,-0.113206,1,4,Metropolitan Police,Frost or ice,One way street,54,14:35,Urban,Raining no high winds,Taxi/Private hire car
A20210100663,20/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.44454,Darkness - lights lit,Kensington and Chelsea,None,-0.172787,1,4,Metropolitan Police,Wet or damp,Single carriageway,33,19:35,Urban,Fine no high winds,Taxi/Private hire car
A20210100664,21/01/2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.408652,Daylight,Kensington and Chelsea,None,-0.107577,1,4,Metropolitan Police,Snow,Roundabout,43,12:00,Urban,Fine no high winds,Bus
A20210100665,22/01/2021,Friday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.434257,Daylight,Camden,None,-0.230547,3,1,Metropolitan Police,Dry,One way street,76,12:05,Rural,Fine no high winds,Motorcycle
A20210100666,23/01/2021,Saturday,Stop sign,T or staggered junction,Slight,51.554494,Daylight,Hammersmith and Fulham,None,-0.203249,1,4,Metropolitan Police,Dry,Single carriageway,50,11:30,Urban,Fog or mist,Goods vehicle
A20210100667,24/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Moderate,51.532038,Darkness - lights lit,Camden,None,-0.25773,3,4,Metropolitan Police,Wet or damp,One way street,73,21:45,Rural,Raining no high winds,Motorcycle
A20210100668,25/01/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.501487,Daylight,Kensington and Chelsea,None,-0.254162,1,2,Metropolitan Police,Frost or ice,Residential street,76,13:20,Suburban,Fine no high winds,Goods vehicle
A20210100669,26/01/2021,Tuesday,Auto traffic signal,T or staggered junction,Moderate,51.448311,Daylight,Camden,None,-0.179666,3,1,Metropolitan Police,Frost or ice,Single carriageway,96,06:15,Rural,Raining no high winds,Motorcycle
A20210100670,27/01/2021,Wednesday,Auto traffic signal,Roundabout,Moderate,51.459699,Daylight,Westminster,None,-0.173158,3,4,Metropolitan Police,Snow,Motorway,82,13:40,Urban,Fine no high winds,Motorcycle
A20210100671,28/01/2021,Thursday,Stop sign,Roundabout,Moderate,51.416588,Darkness - lights lit,Kensington and Chelsea,None,-0.158636,3,1,Metropolitan Police,Snow,Residential street,38,03:05,Rural,Raining no high winds,Motorcycle
A20210100672,01/01/2021,Friday,Auto traffic signal,Roundabout,Moderate,51.545279,Darkness - lights lit,Hammersmith and Fulham,None,-0.258783,3,3,Metropolitan Police,Wet or damp,Dual carriageway,52,03:15,Urban,Fog or mist,Goods vehicle
A20210100673,02/01/2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.402485,Daylight,Westminster,None,-0.133518,1,3,Metropolitan Police,Snow,Single carriageway,35,13:50,Urban,Snowing no high winds,Taxi/Private hire car
A20210100674,03/01/2021,Sunday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.468656,Daylight,Hammersmith and Fulham,None,-0.103623,3,2,Metropolitan Police,Frost or ice,Single carriageway,79,12:15,Suburban,Storm,Bus
A20210100675,04/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.546666,Darkness - lights lit,Westminster,None,-0.108208,3,2,Metropolitan Police,Dry,One way street,57,04:40,Rural,Raining no high winds,Car
A20210100676,05/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.461185,Darkness - lights lit,Westminster,None,-0.102654,3,3,Metropolitan Police,Wet or damp,Motorway,120,04:00,Urban,Fine no high winds,Taxi/Private hire car
A20210100677,06/01/2021,Wednesday,Give way or uncontrolled,Roundabout,Slight,51.413274,Daylight,Westminster,None,-0.15961,1,1,Metropolitan Police,Dry,Single carriageway,78,07:55,Rural,Fine no high winds,Motorcycle
A20210100678,07/01/2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.462528,Daylight,Hammersmith and Fulham,None,-0.132729,1,4,Metropolitan Police,Dry,Single carriageway,27,08:10,Suburban,Fine no high winds,Motorcycle
A20210100679,08/01/2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.401622,Daylight,Westminster,None,-0.154453,1,1,Metropolitan Police,Dry,Roundabout,74,12:25,Suburban,Fine no high winds,Bus
A20210100680,09/01/2021,Saturday,Give way or uncontrolled,T or staggered junction,Moderate,51.496978,Daylight,Kensington and Chelsea,None,-0.177121,3,2,Metropolitan Police,Wet or damp,Roundabout,46,17:00,Suburban,Raining no high winds,Bus
A20210100681,10/01/2021,Sunday,Auto traffic signal,T or staggered junction,Slight,51.552517,Daylight,Camden,None,-0.146707,1,3,Metropolitan Police,Frost or ice,Single carriageway,28,07:05,Urban,Fine no high winds,Motorcycle
A20210100682,11/01/2021,Monday,Stop sign,Roundabout,Slight,51.553899,Daylight,Kensington and Chelsea,None,-0.166616,1,3,Metropolitan Police,Wet or damp,Residential street,32,08:10,Urban,Storm,Taxi/Private hire car
A20210100683,12/01/2021,Tuesday,Stop sign,Roundabout,Slight,51.46869,Daylight,Camden,None,-0.200166,1,1,Metropolitan Police,Frost or ice,Residential street,47,13:45,Suburban,Raining no high winds,Taxi/Private hire car
A20210100684,13/01/2021,Wednesday,Stop sign,Roundabout,Moderate,51.463729,Daylight,Kensington and Chelsea,None,-0.231215,3,3,Metropolitan Police,Frost or ice,Single carriageway,78,13:20,Suburban,Storm,Taxi/Private hire car
A20210100685,14/01/2021,Thursday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.401744,Daylight,Camden,None,-0.225796,1,3,Metropolitan Police,Wet or damp,Roundabout,40,11:10,Urban,Fine no high winds,Goods vehicle
A20210100686,15/01/2021,Friday,Stop sign,Not at junction or within 20 metres,Slight,51.411972,Daylight,Hammersmith and Fulham,None,-0.150859,1,4,Metropolitan Police,Snow,Single carriageway,55,06:05,Urban,Fine no high winds,Bus
A20210100687,16/01/2021,Saturday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.4523,Darkness - lights lit,Hammersmith and Fulham,None,-0.222172,1,1,Metropolitan Police,Snow,Dual carriageway,52,01:20,Urban,Fine no high winds,Car
A20210100688,17/01/2021,Sunday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.546886,Daylight,Kensington and Chelsea,None,-0.206018,3,1,Metropolitan Police,Dry,Residential street,64,14:20,Rural,Snowing no high winds,Motorcycle
A20210100689,18/01/2021,Monday,Auto traffic signal,Roundabout,Moderate,51.497971,Daylight,Hammersmith and Fulham,None,-0.212249,3,4,Metropolitan Police,Frost or ice,Motorway,100,08:25,Urban,Fog or mist,Car
A20210100690,19/01/2021,Tuesday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.515881,Daylight,Westminster,None,-0.232769,1,2,Metropolitan Police,Snow,One way street,24,07:00,Suburban,Storm,Goods vehicle
A20210100691,20/01/2021,Wednesday,Auto traffic signal,Not at junction or within 20 metres,Fatal,51.49804,Daylight,Hammersmith and Fulham,None,-0.216814,3,2,Metropolitan Police,Wet or damp,Motorway,94,08:00,Suburban,Storm,Goods vehicle
A20210100692,21/01/2021,Thursday,Stop sign,Not at junction or within 20 metres,Moderate,51.438484,Daylight,Hammersmith and Fulham,None,-0.154197,3,3,Metropolitan Police,Snow,Motorway,103,18:30,Urban,Fine no high winds,Motorcycle
A20210100693,22/01/2021,Friday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.503541,Darkness - lights lit,Westminster,None,-0.148806,1,1,Metropolitan Police,Frost or ice,Single carriageway,55,02:25,Urban,Fine no high winds,Car
A20210100694,23/01/2021,Saturday,Stop sign,Not at junction or within 20 metres,Slight,51.482228,Daylight,Camden,None,-0.138322,1,3,Metropolitan Police,Frost or ice,Dual carriageway,51,12:15,Urban,Raining no high winds,Taxi/Private hire car
A20210100695,24/01/2021,Sunday,Auto traffic signal,T or staggered junction,Slight,51.410982,Daylight,Hammersmith and Fulham,None,-0.233729,1,3,Metropolitan Police,Dry,One way street,67,11:30,Suburban,Fine no high winds,Taxi/Private hire car
A20210100696,25/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.484942,Darkness - lights lit,Camden,None,-0.217507,1,1,Metropolitan Police,Snow,One way street,31,00:35,Urban,Fine no high winds,Motorcycle
A20210100697,26/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.461204,Daylight,Hammersmith and Fulham,None,-0.228971,1,2,Metropolitan Police,Frost or ice,Dual carriageway,62,10:00,Urban,Fine no high winds,Taxi/Private hire car
A20210100698,27/01/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Moderate,51.408502,Daylight,Kensington and Chelsea,None,-0.167963,3,2,Metropolitan Police,Dry,Dual carriageway,60,13:05,Rural,Raining no high winds,Goods vehicle
A20210100699,28/01/2021,Thursday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.531851,Darkness - lights lit,Camden,None,-0.180773,1,2,Metropolitan Police,Wet or damp,Roundabout,45,22:30,Urban,Fine no high winds,Bus
A20210100700,01/01/2021,Friday,Stop sign,Roundabout,Moderate,51.518255,Darkness - lights lit,Westminster,None,-0.232763,3,1,Metropolitan Police,Wet or damp,Single carriageway,57,00:05,Rural,Raining no high winds,Taxi/Private hire car
A20210100701,02/01/2021,Saturday,Give way or uncontrolled,Roundabout,Slight,51.541001,Darkness - lights lit,Westminster,None,-0.151328,1,1,Metropolitan Police,Snow,Residential street,47,21:35,Urban,Raining no high winds,Motorcycle
A20210100702,03/01/2021,Sunday,Auto traffic signal,T or staggered junction,Moderate,51.484043,Darkness - lights lit,Westminster,None,-0.139201,3,1,Metropolitan Police,Dry,Single carriageway,49,03:00,Rural,Raining no high winds,Bus
A20210100703,04/01/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.53244,Daylight,Camden,None,-0.146375,1,4,Metropolitan Police,Dry,Dual carriageway,76,11:40,Suburban,Fine no high winds,Bus
A20210100704,05/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.518562,Daylight,Hammersmith and Fulham,None,-0.202493,3,1,Metropolitan Police,Wet or damp,One way street,50,13:15,Rural,Fog or mist,Motorcycle
A20210100705,06/01/2021,Wednesday,Stop sign,Roundabout,Fatal,51.542079,Darkness - lights lit,Hammersmith and Fulham,None,-0.165736,3,3,Metropolitan Police,Snow,Motorway,108,21:40,Rural,Storm,Taxi/Private hire car
A20210100706,07/01/2021,Thursday,Stop sign,Roundabout,Moderate,51.446145,Darkness - lights lit,Kensington and Chelsea,None,-0.180172,3,2,Metropolitan Police,Frost or ice,Single carriageway,47,19:05,Urban,Raining no high winds,Taxi/Private hire car
A20210100707,08/01/2021,Friday,Give way or uncontrolled,Roundabout,Moderate,51.406552,Darkness - lights lit,Camden,None,-0.127925,3,1,Metropolitan Police,Dry,Dual carriageway,70,05:20,Rural,Fine no high winds,Motorcycle
A20210100708,09/01/2021,Saturday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.506452,Darkness - lights lit,Westminster,None,-0.10741,1,3,Metropolitan Police,Wet or damp,Roundabout,36,00:00,Urban,Raining no high winds,Taxi/Private hire car
A20210100709,10/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Moderate,51.461799,Darkness - lights lit,Hammersmith and Fulham,None,-0.105295,3,1,Metropolitan Police,Snow,Single carriageway,42,01:35,Urban,Storm,Bus
A20210100710,11/01/2021,Monday,Give way or uncontrolled,Roundabout,Moderate,51.488685,Daylight,Camden,None,-0.211201,3,3,Metropolitan Police,Frost or ice,Dual carriageway,94,10:45,Rural,Fine no high winds,Goods vehicle
A20210100711,12/01/2021,Tuesday,Stop sign,Not at junction or within 20 metres,Fatal,51.514016,Darkness - lights lit,Hammersmith and Fulham,None,-0.203329,3,4,Metropolitan Police,Frost or ice,Motorway,103,03:10,Urban,Fog or mist,Motorcycle
A20210100712,13/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.492852,Daylight,Camden,None,-0.239636,1,3,Metropolitan Police,Dry,One way street,28,13:05,Urban,Storm,Motorcycle
A20210100713,14/01/2021,Thursday,Stop sign,T or staggered junction,Slight,51.453357,Daylight,Kensington and Chelsea,None,-0.12849,1,4,Metropolitan Police,Snow,Dual carriageway,50,16:35,Urban,Raining no high winds,Car
A20210100714,15/01/2021,Friday,Stop sign,Roundabout,Moderate,51.421824,Darkness - lights lit,Westminster,None,-0.211857,3,3,Metropolitan Police,Dry,Dual carriageway,78,22:00,Urban,Raining no high winds,Motorcycle
A20210100715,16/01/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.475799,Darkness - lights lit,Hammersmith and Fulham,None,-0.197486,1,1,Metropolitan Police,Snow,One way street,53,04:45,Rural,Fine no high winds,Motorcycle
A20210100716,17/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Slight,51.419711,Daylight,Westminster,None,-0.158208,1,2,Metropolitan Police,Wet or damp,Single carriageway,59,17:20,Urban,Fine no high winds,Taxi/Private hire car
A20210100717,18/01/2021,Monday,Stop sign,Roundabout,Moderate,51.458774,Daylight,Camden,None,-0.19741,3,1,Metropolitan Police,Frost or ice,Dual carriageway,63,15:35,Urban,Fog or mist,Motorcycle
A20210100718,19/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.504068,Darkness - lights lit,Hammersmith and Fulham,None,-0.253179,1,3,Metropolitan Police,Wet or damp,Single carriageway,44,03:45,Suburban,Fine no high winds,Motorcycle
A20210100719,20/01/2021,Wednesday,Stop sign,Not at junction or within 20 metres,Slight,51.4625,Darkness - lights lit,Kensington and Chelsea,None,-0.23208,1,2,Metropolitan Police,Snow,One way street,68,05:25,Suburban,Raining no high winds,Goods vehicle
A20210100720,21/01/2021,Thursday,Stop sign,Roundabout,Moderate,51.460244,Daylight,Hammersmith and Fulham,None,-0.163065,3,2,Metropolitan Police,Snow,Motorway,100,08:50,Urban,Fog or mist,Taxi/Private hire car
A20210100721,22/01/2021,Friday,Stop sign,T or staggered junction,Moderate,51.437073,Daylight,Kensington and Chelsea,None,-0.180091,3,4,Metropolitan Police,Snow,Dual carriageway,57,18:45,Rural,Raining no high winds,Taxi/Private hire car
A20210100722,23/01/2021,Saturday,Auto traffic signal,T or staggered junction,Fatal,51.409908,Daylight,Camden,None,-0.241684,3,1,Metropolitan Police,Frost or ice,Motorway,99,07:05,Suburban,Fog or mist,Bus
A20210100723,24/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Moderate,51.489035,Daylight,Westminster,None,-0.219601,3,4,Metropolitan Police,Snow,Residential street,70,10:05,Rural,Snowing no high winds,Taxi/Private hire car
A20210100724,25/01/2021,Monday,Stop sign,T or staggered junction,Moderate,51.432566,Daylight,Westminster,None,-0.117073,3,3,Metropolitan Police,Frost or ice,Motorway,76,06:05,Urban,Fine no high winds,Goods vehicle
A20210100725,26/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.532412,Darkness - lights lit,Camden,None,-0.202962,3,2,Metropolitan Police,Dry,Single carriageway,78,23:55,Rural,Fine no high winds,Motorcycle
A20210100726,27/01/2021,Wednesday,Give way or uncontrolled,Roundabout,Slight,51.436892,Darkness - lights lit,Camden,None,-0.256393,1,3,Metropolitan Police,Snow,One way street,53,02:10,Urban,Fine no high winds,Motorcycle
A20210100727,28/01/2021,Thursday,Stop sign,Not at junction or within 20 metres,Moderate,51.449958,Daylight,Kensington and Chelsea,None,-0.172649,3,1,Metropolitan Police,Frost or ice,Motorway,90,09:05,Rural,Fine no high winds,Bus
A20210100728,01/01/2021,Friday,Stop sign,Roundabout,Slight,51.547868,Daylight,Kensington and Chelsea,None,-0.222301,1,1,Metropolitan Police,Dry,Dual carriageway,58,06:25,Rural,Fine no high winds,Bus
A20210100729,02/01/2021,Saturday,Auto traffic signal,Not at junction or within 20 metres,Fatal,51.406679,Darkness - lights lit,Kensington and Chelsea,None,-0.180545,3,2,Metropolitan Police,Snow,Roundabout,70,19:05,Suburban,Storm,Motorcycle
A20210100730,03/01/2021,Sunday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.497302,Daylight,Hammersmith and Fulham,None,-0.150889,3,1,Metropolitan Police,Frost or ice,Motorway,76,07:00,Urban,Fog or mist,Car
A20210100731,04/01/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.543543,Darkness - lights lit,Camden,None,-0.203714,1,3,Metropolitan Police,Frost or ice,One way street,55,22:30,Urban,Fine no high winds,Car
A20210100732,05/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.439988,Daylight,Kensington and Chelsea,None,-0.247742,1,2,Metropolitan Police,Frost or ice,One way street,54,13:55,Urban,Fine no high winds,Taxi/Private hire car
A20210100733,06/01/2021,Wednesday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.41958,Daylight,Kensington and Chelsea,None,-0.24778,1,2,Metropolitan Police,Frost or ice,Roundabout,28,07:20,Urban,Fine no high winds,Bus
A20210100734,07/01/2021,Thursday,Auto traffic signal,Roundabout,Moderate,51.511643,Daylight,Kensington and Chelsea,None,-0.25136,3,4,Metropolitan Police,Frost or ice,Dual carriageway,86,09:25,Suburban,Snowing no high winds,Bus
A20210100735,08/01/2021,Friday,Give way or uncontrolled,Roundabout,Fatal,51.515986,Daylight,Westminster,None,-0.254261,3,2,Metropolitan Police,Frost or ice,Motorway,122,16:15,Urban,Storm,Motorcycle
A20210100736,09/01/2021,Saturday,Give way or uncontrolled,T or staggered junction,Moderate,51.444655,Daylight,Hammersmith and Fulham,None,-0.180743,3,4,Metropolitan Police,Frost or ice,Motorway,94,08:20,Suburban,Fine no high winds,Motorcycle
A20210100737,10/01/2021,Sunday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.522079,Daylight,Kensington and Chelsea,None,-0.114391,1,3,Metropolitan Police,Snow,Single carriageway,23,13:40,Urban,Fine no high winds,Goods vehicle
